wind_mw,pv_mw,electrolyzer_mw,n_electrolyzer_units,battery_mw,battery_mwh,battery_duration_h,feasible,agsr,infeasibility_reason,total_wind_mwh,total_pv_mwh,total_renewable_mwh,total_grid_sales_mwh,total_electrolyzer_load_mwh,total_curtailment_mwh,battery_throughput_mwh,electrolyzer_cf,total_h2_kg,npc_cny,annualized_cost_cny,lcoe_cny_per_kwh,lcoh_cny_per_kg,score,algorithm,seed,n_evaluations,elapsed_s
152.50852792720661,47.491472072793385,95.0,19,25.0,25.0,1.0,True,0.1985023780069528,,536116.7381144034,78197.55394959758,614314.2920640011,121942.84781836194,488910.6722002792,0.0,33188.66385727582,0.5858866266420756,8841341.470626876,2588310250.956291,171868230.34077123,0.28135751814203575,19.43915761106615,0.28135751814203575,pso,58,600,1.6022250000005442
132.5267667183067,67.4732332816933,90.0,18,15.0,15.0,1.0,True,0.19419389345197843,,466595.5681641033,111098.72087375482,577694.2890378581,112184.70321323426,463817.90137159015,0.0,16199.135286340843,0.5866953822247396,8387569.916935482,2461441145.152708,163443904.58951256,0.2837554957018309,19.486443178196375,0.2837554957018309,pso,59,600,1.601655300000857
127.50878025076825,72.49121974923175,85.0,17,20.0,20.0,1.0,True,0.19637588968619243,,449188.9920833707,119361.13621670817,568550.1283000789,111649.53727612685,454442.50932292815,0.0,23726.543609483,0.6086500982038575,8218027.611486962,2406178892.1415777,159774396.41283327,0.28224101958810316,19.441939595031837,0.28224101958810316,pso,60,600,1.6148886999999377
142.51068346235357,57.48931653764643,90.0,18,20.0,40.0,2.0,True,0.1969400425317586,,501349.0436962669,94659.60382503003,596008.647521297,117377.96839214014,475489.8078730333,0.0,30144.095520158873,0.6014594817256543,8598641.830191273,2537572393.7038455,168499149.78559485,0.2842103358139502,19.596019128737993,0.2842103358139502,pso,61,600,1.655029999999897
138.7073425773237,61.292657422676314,90.0,18,20.0,20.0,1.0,True,0.1955724816347484,,485311.8248383567,100922.0324477935,586233.8572861502,114651.21028776333,468976.1767768174,0.0,24985.809102739426,0.5932202195618517,8480850.912524935,2487247381.834861,165157482.87043077,0.2829844632567858,19.474164158046705,0.2829844632567858,pso,62,600,1.6103308000001562
117.52087658433285,82.47912341566715,80.0,16,15.0,30.0,2.0,True,0.19957418274658478,,414430.59568848263,135806.8179719995,550237.4136604822,109813.18214788524,438292.89933027374,0.0,20572.605845086837,0.6237091577445836,7925981.999310153,2344420421.017998,155673528.23575148,0.2840208008930016,19.64091367470942,0.2840208008930016,pso,63,600,1.6252973999999085
127.50403583192406,72.49596416807594,85.0,17,20.0,20.0,1.0,True,0.19637224426540745,,449183.5692126318,119368.94818657005,568552.5173992019,111647.93382442839,454446.49079622596,0.0,23726.650534874017,0.6086554307246143,8218099.611479974,2406171185.532144,159773884.68077764,0.2822389299944859,19.441706992403372,0.2822389299944859,pso,64,600,1.5971853000010015
127.529173964699,72.470826035301,85.0,17,20.0,20.0,1.0,True,0.1963715821320944,,449212.3020983935,119327.55674494768,568539.8588433412,111645.07158622454,454433.55561853945,0.0,23756.948266373245,0.6086381062071942,8217865.69487841,2406212018.725322,159776596.07468724,0.2822515961495439,19.44259032783466,0.2822515961495439,pso,65,600,1.6252222000002803
152.52925533375614,47.47074466624386,95.0,19,20.0,40.0,2.0,True,0.19626879764743596,,536140.2015386175,78163.42503294899,614303.6265715664,120568.63417766083,490355.62632495805,0.0,32619.20723542154,0.5876181889619381,8867471.668947527,2616724162.7466965,173754962.71169603,0.2844132635504515,19.59464537339975,0.2844132635504515,pso,66,600,1.6386715000007825
127.51787985599553,72.48212014400447,85.0,17,25.0,25.0,1.0,True,0.19252723407297637,,449199.3929321454,119346.15317155031,568545.5461036956,109460.50143585438,456217.927910237,0.0,27674.739515145426,0.6110279758789202,8250133.848630555,2421960474.8719687,160822320.51499477,0.28429989932778754,19.49329834711588,0.28429989932778754,pso,67,600,1.6139492000002065
117.50284158993487,82.49715841006513,80.0,16,15.0,30.0,2.0,True,0.19956126458874246,,414409.9275849025,135836.51367074,550246.4412556426,109807.87565243122,438307.1591910226,0.0,20573.32234614614,0.6237294501238368,7926239.871157452,2344391125.826633,155671582.98490855,0.284012612479002,19.640029259192247,0.284012612479002,pso,68,600,1.6292557000015222
117.71081771417187,82.28918228582813,80.0,16,15.0,30.0,2.0,True,0.19971652876046325,,414647.8858073685,135494.06852247583,550141.9543298443,109872.44144425381,438139.64726018545,0.0,20558.44995813749,0.6234910736284515,7923210.626215282,2344728952.400044,155694015.24754506,0.2841068992029406,19.650369350576785,0.2841068992029406,pso,69,600,1.6173100999985763
127.50572433012941,72.49427566987059,85.0,17,20.0,20.0,1.0,True,0.19637354163606455,,449185.49916608044,119366.16797311815,568551.6671391986,111648.50447921333,454445.0738238341,0.0,23726.612481039232,0.6086535329259537,8218073.987296491,2406173928.248718,159774066.80185208,0.2822396736610216,19.441789773228013,0.2822396736610216,pso,70,600,1.6344410000001517
142.51129559807816,57.48870440192184,90.0,18,20.0,40.0,2.0,True,0.196940567405003,,501349.73663390713,94658.59590688685,596008.332540794,117378.21918869368,475489.2470744594,0.0,30144.047465538417,0.6014587723568855,8598631.688846504,2537573388.0281463,168499215.81043014,0.2842105957887715,19.596049919081263,0.2842105957887715,pso,71,600,1.6216236999989633
127.64322890492909,72.35677109507091,85.0,17,20.0,20.0,1.0,True,0.19645932428063415,,449342.6668950765,119139.75845290505,568482.4253479815,111683.6731492805,454337.78914408764,0.0,23754.35576949767,0.6085098429552229,8216133.877288387,2406397284.1724005,159788898.01743966,0.28230183599402325,19.44818577739335,0.28230183599402325,ga,42,600,1.6018385999996099
